uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,synonym.3,answer.1,reference-term-source,reference-term-code,reference-term-relationship
,Measles,,Diagnosis,N/A,Measles,,,,,ICD 10 - WHO,B05,SAME-AS
,Diptheria,,Diagnosis,N/A,Diptheria,,,,,ICD 10 - WHO,A36,SAME-AS
,Whooping Cough,,Diagnosis,N/A,Whooping Cough,,,,,ICD 10 - WHO,A37,SAME-AS
,Neonatal Tetanus,,Diagnosis,N/A,Neonatal Tetanus,,,,,ICD 10 - WHO,A33,SAME-AS
,Tetanus,,Diagnosis,N/A,Tetanus,,,,,ICD 10 - WHO,A35,SAME-AS
,Tuberculosis,,Diagnosis,N/A,Tuberculosis,,,,,ICD 10 - WHO,A16,SAME-AS
,Multi Drug Resistant Tuberculosis,,Diagnosis,N/A,MDR Tuberculosis,,,,,,,
,Extremely Drug Resistant Tuberculosis,,Diagnosis,N/A,XDR Tuberculosis,,,,,,,
,Acute Flaccid Paralysis,,Diagnosis,N/A,AFP,,,,,ICD 10 - WHO,G83,SAME-AS
,Rubella,,Diagnosis,N/A,Rubella,,,,,ICD 10 - WHO,B06,SAME-AS
,Mumps,,Diagnosis,N/A,Mumps,,,,,ICD 10 - WHO,B26,SAME-AS
,Chicken Pox,,Diagnosis,N/A,Chicken Pox,,,,,ICD 10 - WHO,B01,SAME-AS
,Hepatitis B,,Diagnosis,N/A,Hepatitis B,,,,,ICD 10 - WHO,B16,SAME-AS
,Acute Encephalitis Like Syndrome,,Diagnosis,N/A,AES,,,,,ICD 10 - WHO,A86,SAME-AS
,Filariasis,,Diagnosis,N/A,Filariasis,,,,,ICD 10 - WHO,B74.9,SAME-AS
,Clinical Malaria,,Diagnosis,N/A,Clinical Malaria,,,,,ICD 10 - WHO,B54,SAME-AS
,Plasmodium Falciparum,,Diagnosis,N/A,Plasmodium Falciparum,,,,,ICD 10 - WHO,B50.9,SAME-AS
,Plasmodium Vivax,,Diagnosis,N/A,Plasmodium Vivax,,,,,ICD 10 - WHO,B51.9,SAME-AS
,Dengue Fever,,Diagnosis,N/A,Dengue Fever,,,,,ICD 10 - WHO,A90,SAME-AS
,Kalaazar,,Diagnosis,N/A,Kalaazar,Leshmaniasis,,,,ICD 10 - WHO,B55.9,SAME-AS
,Typhoid,,Diagnosis,N/A,Typhoid,Enteric Fever,,,,ICD 10 - WHO,A01.0,SAME-AS
,Acute Gastro‐Enteritis,,Diagnosis,N/A,AGE,,,,,ICD 10 - WHO,A09,SAME-AS
,Amoebic Dysentery,,Diagnosis,N/A,Amoebic Dysentery,Amoebiasis,,,,ICD 10 - WHO,A06.9,SAME-AS
,Bacillary Dysentery,,Diagnosis,N/A,Bacillary Dysentery,Shigellosis,,,,ICD 10 - WHO,A03.9,SAME-AS
,Presumed Non‐Infectious Diarrhoea,,Diagnosis,N/A,Presumed Non‐Infectious Diarrhoea,,,,,ICD 10 - WHO,K52.9,SAME-AS
,Cholera,,Diagnosis,N/A,Cholera,,,,,ICD 10 - WHO,A00.9,SAME-AS
,Intestinal Worms,,Diagnosis,N/A,Intestinal Worms,,,,,ICD 10 - WHO,B82.9,SAME-AS
,Jaundice,,Diagnosis,N/A,Jaundice,,,,,ICD 10 - WHO,R17,SAME-AS
,Hepatitis A,,Diagnosis,N/A,Hepatitis A,,,,,ICD 10 - WHO,B15.9,SAME-AS
,Hepatitis E,,Diagnosis,N/A,Hepatitis E,,,,,ICD 10 - WHO,B17.2,SAME-AS
,Volume Depletion,,Diagnosis,N/A,Volume Depletion,Dehydration,,,,ICD 10 - WHO,E86,SAME-AS
,Leprosy,,Diagnosis,N/A,Leprosy,,,,,ICD 10 - WHO,A30.9,SAME-AS
,Meningitis,,Diagnosis,N/A,Meningitis,,,,,ICD 10 - WHO,G03.9,SAME-AS
,HIV Infection,,Diagnosis,N/A,HIV Infection,,,,,ICD 10 - WHO,B20,SAME-AS
,Urethral Discharge Syndrome,,Diagnosis,N/A,UDS,,,,,ICD 10 - WHO,A54.0,SAME-AS
,Scrotal Swelling Syndrome,,Diagnosis,N/A,SSS,,,,,ICD 10 - WHO,N49.9,SAME-AS
,Vaginal Discharge Syndrome,,Diagnosis,N/A,VDS,,,,,ICD 10 - WHO,N89.8,SAME-AS
